experiment,beta1,beta2,ema_window,omega1_mean,omega1_std,omega2_mean,omega2_std
resnet18_cifar100,0.9,0.9,1,14.699515002676312,0.02059253746311114,19.0544848409975,0.0171563814485649
resnet18_cifar100,0.9,0.968,1,3.8279913139536883,0.04238126327514907,4.509967300471902,0.056565532529215465
resnet18_cifar100,0.9,0.99,1,2.9545626170584125,0.025011632986511028,3.9532093103147936,0.04898844144347742
resnet18_cifar100,0.9,0.9968,1,3.066681197005609,0.06636435346786267,4.089381054610333,0.10730182804639085
resnet18_cifar100,0.9,0.999,1,2.820762016104578,0.19991356347156544,3.6428002130233192,0.3105149582696126
resnet18_cifar100,0.968,0.9,1,3.03534421716722,0.016694770399448472,5.825114169063205,0.030745219322666092
resnet18_cifar100,0.968,0.968,1,1.6821646114100577,0.005490928735051249,2.201531803109847,0.010606027761576613
resnet18_cifar100,0.968,0.99,1,1.375986037192874,0.002200610193196281,1.491047010525856,0.002451956115952878
resnet18_cifar100,0.968,0.9968,1,0.9637933965877802,0.008893834957338585,1.2452993351873092,0.015828988673359485
resnet18_cifar100,0.968,0.999,1,0.9527735788827968,0.0087874235120478,1.2515618904339878,0.01423317991684319
resnet18_cifar100,0.99,0.9,1,10.210686521656003,0.004790413463080205,1.9418083798034793,0.001502436324523534
resnet18_cifar100,0.99,0.968,1,0.27311990199042263,0.0007093786904782609,0.48084651681013924,0.0011019762321063484
resnet18_cifar100,0.99,0.99,1,0.22699680123602348,0.003287661153622963,0.3014647383863302,0.004733991065773245
resnet18_cifar100,0.99,0.9968,1,0.23139352276151523,0.002420949572321334,0.3082694858629547,0.004225156591462763
resnet18_cifar100,0.99,0.999,1,0.2261795135910162,0.003286801295188965,0.2970831489623338,0.004572423768407278
resnet18_cifar100,0.9968,0.9,1,9.744842561080572,0.0034592753132736097,1.0792796074548854,0.001189891675628084
resnet18_cifar100,0.9968,0.968,1,1.7848494524456173,0.0018653337548365408,0.11748761808369938,0.00021725023972128744
resnet18_cifar100,0.9968,0.99,1,0.03130258082729541,0.00030254389211528167,0.0335414432981006,0.0001963442483565612
resnet18_cifar100,0.9968,0.9968,1,0.044712386800718144,0.00014455040676241977,0.059197057106321026,0.00026396434122775953
resnet18_cifar100,0.9968,0.999,1,0.05420278486054415,0.0007316343895083079,0.07215207597346003,0.0009526802388393464
resnet18_cifar100,0.999,0.9,1,3.724629446739122,0.004193583522141852,0.7415001119240721,0.03559631172848653
resnet18_cifar100,0.999,0.968,1,1.670092689700202,0.0013920798658551125,0.10910007759980304,0.0009558487420245592
resnet18_cifar100,0.999,0.99,1,0.25680018553610345,7.174556497434338e-05,0.010071792526096255,3.673769188726213e-05
resnet18_cifar100,0.999,0.9968,1,0.014477892592413449,7.475725565556375e-05,0.00890930200725745,6.160036226984523e-05
resnet18_cifar100,0.999,0.999,1,0.013089620828009336,4.0841771542222734e-05,0.01353088418736976,8.727234112591761e-05
resnet18_cifar100,0.9,0.9,10,2.3166628772516646,0.0022458529186382527,2.9176745202087377,0.003902396272410747
resnet18_cifar100,0.9,0.968,10,1.0684575816982234,0.01543295724483673,0.7376238319929819,0.00788685812269238
resnet18_cifar100,0.9,0.99,10,0.9238026687839519,0.0036869013685477854,0.5623031772380415,0.004716289355294142
resnet18_cifar100,0.9,0.9968,10,1.0074544941221533,0.0187022045130656,0.5788268338913583,0.012752041658656224
resnet18_cifar100,0.9,0.999,10,0.950729905585896,0.03779511426547708,0.5318493299767278,0.039538976982604036
resnet18_cifar100,0.968,0.9,10,0.3486355015722598,0.00255220714813775,0.6049737915103662,0.0032321206986980207
resnet18_cifar100,0.968,0.968,10,0.3171350697617828,0.0018260409475918304,0.33157432068029385,0.0011420112521872711
resnet18_cifar100,0.968,0.99,10,0.4012321844145901,0.0019398257689539472,0.2642149000033004,0.0003029468677546425
resnet18_cifar100,0.968,0.9968,10,0.33790672692873064,0.002363127352489735,0.18149501455482345,0.0016560409909463427
resnet18_cifar100,0.968,0.999,10,0.3363837858828313,0.001981829079111412,0.17898270593301394,0.001732313816361663
resnet18_cifar100,0.99,0.9,10,7.708006721072787,0.0036439449058501545,1.3451501109470565,0.0006659491816946949
resnet18_cifar100,0.99,0.968,10,0.051034495244942156,0.0002148089145845251,0.053122185792023,0.0001480991292370746
resnet18_cifar100,0.99,0.99,10,0.06241048937988967,0.0012986258505070793,0.04377575407106852,0.0006274535288752155
resnet18_cifar100,0.99,0.9968,10,0.0805954195048888,0.0004197642373648069,0.043658007454122384,0.0005018153934968211
resnet18_cifar100,0.99,0.999,10,0.08477155365565453,0.0009144388142541179,0.042257814440787765,0.0006629486701947249
resnet18_cifar100,0.9968,0.9,10,8.941149597443006,0.002985490333239219,0.815239468069572,0.00038864146034415316
resnet18_cifar100,0.9968,0.968,10,1.7133715349967622,0.0017689710601446764,0.10093061952362163,0.00011653048185236116
resnet18_cifar100,0.9968,0.99,10,0.01604410078093668,0.0001864780376465261,0.005091015650110196,3.419762101404628e-05
resnet18_cifar100,0.9968,0.9968,10,0.017173970672368626,6.015060203358669e-05,0.00825982841418989,3.384742799426156e-05
resnet18_cifar100,0.9968,0.999,10,0.02133773993132061,0.00038681022191551224,0.010034397680423362,0.00012722693180496682
resnet18_cifar100,0.999,0.9,10,3.300736617295776,0.008968755203110973,0.3418119551701137,0.0019453521366978076
resnet18_cifar100,0.999,0.968,10,1.61851930247707,0.0014682978001771217,0.08020529330588698,5.32154493537291e-05
