experiment,metric,beta1,beta2,mean,std,n
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.9,0.9,0.11901945733369322,0.0009550103605682446,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.9,0.99,0.2224659442691974,0.010047126853960503,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.9,0.999,0.25207337026404353,0.005421452871071035,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.99,0.9,314679.23173688754,444966.5892762335,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.99,0.99,0.059414657374903375,0.000695931689383195,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.99,0.999,0.07629275798861596,0.0010502639402937214,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.999,0.9,4671879.716806612,3814307.3448922234,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.999,0.99,234271.7185191987,148264.201717628,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.999,0.999,0.04977901740475419,4.886375208008215e-05,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.9,0.9,2.294563237016115,0.003886784151972012,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.9,0.99,2.2530013773345137,0.0032822084709752367,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.9,0.999,2.2987967549868706,0.010012412598128873,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.99,0.9,2.5228544729277336,0.2155051104475513,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.99,0.99,2.2798977735948665,0.00934063219613868,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.99,0.999,2.3075773999442974,0.0037507215119485697,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.999,0.9,5.075640613612602,0.09807824186206307,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.999,0.99,3.530649841717601,0.2594928498876713,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.999,0.999,2.373496151274177,0.002941880604208196,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.9,0.9,0.14986744868103516,0.0014908557078296043,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.9,0.99,0.24769274719789572,0.008521712109041036,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.9,0.999,0.27290527408606463,0.008042191840743253,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.99,0.9,308.05066515573054,205.02349822901243,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.99,0.99,0.09501155114833082,0.00033508836032418665,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.99,0.999,0.10792511305989838,0.0024385050940080154,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.999,0.9,10738606.726085508,14567906.87760317,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.999,0.99,125.82005917244123,123.07607986630391,3
EfficientNet-B0_TinyImageNet,omega1_updates_norm_w200,0.999,0.999,0.08433494790954843,0.00018655054401323833,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.9,0.9,2.4625656647793552,0.006685232724881181,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.9,0.99,2.3772434413812724,0.006565546603184905,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.9,0.999,2.4069831444705874,0.01001396431818712,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.99,0.9,3.00195915860988,0.44312501922780045,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.99,0.99,2.419191274926414,0.005073436012706732,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.99,0.999,2.443993643337501,0.006021574095591749,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.999,0.9,5.158695317124612,0.022933893946895736,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.999,0.99,3.781818337754333,0.18822756067853386,3
EfficientNet-B0_TinyImageNet,min_val_loss,0.999,0.999,2.687163027481921,0.019357859020698264,3
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.9,0.9,0.49883773159792294,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.9,0.99,0.8467355443973213,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.9,0.999,1.1693858060486044,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.99,0.9,0.34038813854750527,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.99,0.99,0.19471696091272042,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.99,0.999,0.24891684751228643,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.999,0.9,0.33719087581181395,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.999,0.99,0.07359418079516444,0.0,1
NanoGPT_SlimPajama,omega1_updates_norm_w200,0.999,0.999,0.059212441918406175,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.9,0.9,5.77888656258583,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.9,0.99,5.074747085571289,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.9,0.999,4.749202132225037,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.99,0.9,4.837151010334492,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.99,0.99,4.92991787046194,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.99,0.999,4.770005897432566,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.999,0.9,4.533708049356937,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.999,0.99,4.719768276810646,0.0,1
NanoGPT_SlimPajama,min_val_loss,0.999,0.999,4.677712173759938,0.0,1
NanoGPT_WikiText,omega1_updates_norm_w200,0.9,0.9,0.7115441400538861,0.04366789595105973,3
NanoGPT_WikiText,omega1_updates_norm_w200,0.9,0.99,1.1304489679842151,0.024534736366520028,3
NanoGPT_WikiText,omega1_updates_norm_w200,0.9,0.999,1.22210250243112,0.05145658347265682,3
NanoGPT_WikiText,omega1_updates_norm_w200,0.99,0.9,0.6034659777668775,0.002806920853415014,3
NanoGPT_WikiText,omega1_updates_norm_w200,0.99,0.99,0.36539443958445617,0.005562253710951536,3
NanoGPT_WikiText,omega1_updates_norm_w200,0.99,0.999,0.392559638396253,0.003913728421249627,3
NanoGPT_WikiText,omega1_updates_norm_w200,0.999,0.9,0.995976878091461,0.06104711137947057,3
