experiment,source_file,metric,ema_window,n_beta1,n_beta2,n_seeds,diag_mean,diag_std,offdiag_mean,offdiag_std,diag_over_off,n_success,n_trials,rate,p0,p_value
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega1_updates_norm,1,3,3,3,1.9686423068229273,2.4757297486279413,1034956.9073210502,2720818.767422768,1.902149058474994e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega2_updates_norm,1,3,3,3,2.8364428331685176,3.6463863686590128,53947.464051054376,130777.88983311062,5.257787151003404e-05,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega1_updates_norm,10,3,3,3,0.510163860542314,0.5747051652851395,1031092.4683298285,2716006.945467348,4.947799312012058e-07,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega2_updates_norm,10,3,3,3,0.3798434735235332,0.4849140239758578,16573.070503082323,40162.99657604184,2.2919318025762848e-05,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega1_updates_norm,100,3,3,3,0.10725728505811345,0.06605863163378263,955671.0816578022,2534751.9572702567,1.1223242715689825e-07,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega2_updates_norm,100,3,3,3,0.039286255694180844,0.049464662291039276,8659.780545547523,22456.582045371102,4.536634096851346e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega1_updates_norm,200,3,3,3,0.07607104403778359,0.0306304360570926,870138.536315795,2316838.289975683,8.742406049486297e-08,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega2_updates_norm,200,3,3,3,0.01968293699610323,0.024704919174035354,6298.829231496,16555.679352260537,3.1248564253310363e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega1_updates_norm,500,3,3,3,0.05634047136083357,0.009442289524295183,706964.5965733861,1894638.768677543,7.969348342747624e-08,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet.pkl,omega2_updates_norm,500,3,3,3,0.007885885312252934,0.009866211350473327,3499.606398865408,9277.611540520207,2.2533634967662595e-06,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
EfficientNet-B0_TinyImageNet,EfficientNet-B0_TinyImageNet_15.pkl,omega1_updates_norm,1,3,3,3,2.055997340061098,2.5022430244475733,2143478.638703561,8405961.860658329,9.591872309511914e-07,9,9,1.0,0.3333333333333333,5.0805263425290837e-05
